mc_id,lon,lat,group
mc_-63.25_0.50_0.3.5.n,-63.25,0.5,9
mc_-65.75_5.75_1.1_20230602_0,-65.75,5.75,1
mc_-73.60_82.40_1.1_20230605_0,-73.6,82.4,9
mc_-159.92_68.42_1.1_20230605_0,-159.92,68.42,8
mc_-160.19_69.33_1.1_20230605_0,-160.19,69.33,4
mc_-160.32_69.45_1.1_20230605_0,-160.32,69.45,4
mc_-160.44_69.33_1.1_20230605_0,-160.44,69.33,4
mc_-160.44_69.58_1.1_20230605_0,-160.44,69.58,4
mc_-160.44_69.70_1.1_20230605_0,-160.44,69.7,4
mc_-160.82_69.45_1.1_20230605_0,-160.82,69.45,4
mc_-161.07_69.45_1.1_20230605_0,-161.07,69.45,4
mc_-70.98_80.54_1.1_20230605_0,-70.98,80.54,9
mc_-71.22_80.63_1.1_20230605_0,-71.22,80.63,9
mc_-71.34_80.56_1.1_20230605_0,-71.34,80.56,9
mc_-71.47_80.69_1.1_20230605_0,-71.47,80.69,9
mc_-71.58_80.45_1.1_20230605_0,-71.58,80.45,9
mc_-71.68_80.69_1.1_20230605_0,-71.68,80.69,9
mc_-73.18_82.38_1.1_20230605_0,-73.18,82.38,9
mc_-73.34_80.30_1.1_20230605_0,-73.34,80.3,9
mc_-76.26_78.57_1.1_20230605_0,-76.26,78.57,9
mc_-76.37_78.42_1.1_20230605_0,-76.37,78.42,9
mc_-76.53_78.00_1.1_20230605_0,-76.53,78.0,9
mc_-76.54_78.50_1.1_20230605_0,-76.54,78.5,9
mc_-76.62_82.18_1.1_20230605_0,-76.62,82.18,9
mc_-76.65_78.27_1.1_20230605_0,-76.65,78.27,9
mc_-78.10_77.99_1.1_20230605_0,-78.1,77.99,9
mc_-78.41_78.00_1.1_20230605_0,-78.41,78.0,9
mc_-88.47_75.45_1.1_20230605_0,-88.47,75.45,3
mc_-89.22_75.45_1.1_20230605_0,-89.22,75.45,3
mc_-89.59_75.57_1.1_20230605_0,-89.59,75.57,3
mc_-89.65_75.70_1.1_20230605_0,-89.65,75.7,3
mc_-89.72_75.44_1.1_20230605_0,-89.72,75.44,3
mc_-89.77_75.57_1.1_20230605_0,-89.77,75.57,3
mc_-90.18_75.69_1.1_20230605_0,-90.18,75.69,3
mc_-90.34_75.45_1.1_20230605_0,-90.34,75.45,3
mc_-90.35_75.70_1.1_20230605_0,-90.35,75.7,3
mc_-90.59_75.07_1.1_20230605_0,-90.59,75.07,3
mc_-90.59_75.20_1.1_20230605_0,-90.59,75.2,3
mc_-90.59_75.32_1.1_20230605_0,-90.59,75.32,3
mc_-90.59_75.45_1.1_20230605_0,-90.59,75.45,3
mc_-90.59_75.57_1.1_20230605_0,-90.59,75.57,3
mc_-90.84_75.32_1.1_20230605_0,-90.84,75.32,3
mc_-90.84_75.57_1.1_20230605_0,-90.84,75.57,3
mc_-91.09_75.57_1.1_20230605_0,-91.09,75.57,3
mc_-91.34_75.32_1.1_20230605_0,-91.34,75.32,3
mc_-91.47_75.70_1.1_20230605_0,-91.47,75.7,3
mc_-91.58_75.57_1.1_20230605_0,-91.58,75.57,3
mc_-91.59_75.07_1.1_20230605_0,-91.59,75.07,3
mc_-91.59_75.45_1.1_20230605_0,-91.59,75.45,3
mc_-91.72_75.95_1.1_20230605_0,-91.72,75.95,3
mc_-91.97_75.95_1.1_20230605_0,-91.97,75.95,3
mc_-92.09_75.32_1.1_20230605_0,-92.09,75.32,3
mc_-92.09_75.45_1.1_20230605_0,-92.09,75.45,3
mc_-94.45_75.32_1.1_20230605_0,-94.45,75.32,2
mc_-94.59_75.45_1.1_20230605_0,-94.59,75.45,2
mc_-94.64_75.32_1.1_20230605_0,-94.64,75.32,2
mc_106.35_69.70_1.1_20230605_0,106.35,69.7,1
mc_17.87_68.08_1.1_20230605_0,17.87,68.08,1
mc_170.17_68.58_1.1_20230605_0,170.17,68.58,3
mc_170.32_68.58_1.1_20230605_0,170.32,68.58,3
mc_170.69_67.95_1.1_20230605_0,170.69,67.95,3
mc_170.82_68.08_1.1_20230605_0,170.82,68.08,3
mc_170.82_68.20_1.1_20230605_0,170.82,68.2,3
mc_170.94_67.95_1.1_20230605_0,170.94,67.95,3
mc_171.11_68.07_1.1_20230605_0,171.11,68.07,3
mc_171.98_67.95_1.1_20230605_0,171.98,67.95,3
mc_19.37_68.70_1.1_20230605_0,19.37,68.7,1
mc_19.74_68.70_1.1_20230605_0,19.74,68.7,1
mc_19.87_68.65_1.1_20230605_0,19.87,68.65,1
mc_22.68_67.99_1.1_20230605_0,22.68,67.99,7
mc_22.74_68.45_1.1_20230605_0,22.74,68.45,7
mc_22.86_68.49_1.1_20230605_0,22.86,68.49,7
mc_22.87_68.33_1.1_20230605_0,22.87,68.33,7
mc_23.11_68.50_1.1_20230605_0,23.11,68.5,7
mc_23.37_68.32_1.1_20230605_0,23.37,68.32,7
mc_23.54_68.83_1.1_20230605_0,23.54,68.83,7
mc_23.74_68.65_1.1_20230605_0,23.74,68.65,7
mc_23.87_68.33_1.1_20230605_0,23.87,68.33,7
mc_23.99_68.20_1.1_20230605_0,23.99,68.2,7
mc_23.99_68.58_1.1_20230605_0,23.99,68.58,7
mc_23.99_68.60_1.1_20230605_0,23.99,68.6,7
