mc_id,location_id,version,geometry,events,pure_class,mixed_dominant_class,mixed_second_dominant_class,s2_l2_bands,era5,cci_landcover_map,copernicus_dem,de_africa_climatology,event_arrays,s2cloudless_cloudmask,sen2cor_cloudmask,unetmobv2_cloudmask,earthnet_cloudmask,remarks,continent
mc_26.50_8.75_0.3.4,26.50_8.75,0.3.4,"POLYGON ((26.486858196774257 8.736918157757508, 26.510364731292153 8.736918157757508, 26.510364731292153 8.760304154291862, 26.486858196774257 8.760304154291862, 26.486858196774257 8.736918157757508))","[(35165, '2021-04-05', '2021-04-16')]",broadtree,-,-,1.0,1,1.0,1,1,1.0,1.0,-1,-1,-1.0,,Africa
mc_30.25_-14.50_0.3.4,30.25_-14.50,0.3.4,"POLYGON ((30.23658328922301 -14.513107509238504, 30.260640158502433 -14.513107509238504, 30.260640158502433 -14.489669930968345, 30.23658328922301 -14.489669930968345, 30.23658328922301 -14.513107509238504))","[(7471, '2016-11-05', '2016-11-15')]",broadtree,-,-,1.0,1,1.0,1,1,1.0,1.0,-1,-1,-1.0,,Africa
mc_4.00_33.25_0.3.4,4.00_33.25,0.3.4,"POLYGON ((3.9840567702898744 33.23638005146885, 4.013168958161759 33.23638005146885, 4.013168958161759 33.260841316320615, 3.9840567702898744 33.260841316320615, 3.9840567702898744 33.23638005146885))","[(36700, '2021-06-25', '2021-07-07')]",soil,-,-,1.0,1,1.0,1,1,1.0,1.0,-1,-1,-1.0,,Africa
mc_3.75_33.75_0.3.4,3.75_33.75,0.3.4,"POLYGON ((3.733986656545733 33.73639250984257, 3.7632391672085297 33.73639250984257, 3.7632391672085297 33.76082880801194, 3.733986656545733 33.76082880801194, 3.733986656545733 33.73639250984257))","[(36700, '2021-06-25', '2021-07-07')]",soil,-,-,1.0,1,1.0,1,1,1.0,1.0,-1,-1,-1.0,,Africa
mc_3.25_34.00_0.3.4,3.25_34.00,0.3.4,"POLYGON ((3.233991546962238 33.98643259323785, 3.2632343361959446 33.98643259323785, 3.2632343361959446 34.01078866226322, 3.233991546962238 34.01078866226322, 3.233991546962238 33.98643259323785))","[(5531, '2016-09-01', '2016-09-08')]",soil,-,-,1.0,1,1.0,1,1,1.0,1.0,-1,-1,-1.0,,Africa
mc_3.00_34.25_0.3.4,3.00_34.25,0.3.4,"POLYGON ((2.983970459870502 34.236451326824586, 3.0132554757167846 34.236451326824586, 3.0132554757167846 34.26076989083186, 2.983970459870502 34.26076989083186, 2.983970459870502 34.236451326824586))","[(5531, '2016-09-01', '2016-09-08')]",soil,-,-,1.0,1,1.0,1,1,1.0,1.0,-1,-1,-1.0,,Africa
mc_4.25_33.00_0.3.4,4.25_33.00,0.3.4,"POLYGON ((4.2340791641302316 32.98636376310985, 4.263146513604902 32.98636376310985, 4.263146513604902 33.010857641698486, 4.2340791641302316 33.010857641698486, 4.2340791641302316 32.98636376310985))","[(36700, '2021-06-25', '2021-07-07')]",soil,-,-,1.0,1,1.0,1,1,1.0,1.0,-1,-1,-1.0,,Africa
mc_31.75_-13.00_0.3.4,31.75_-13.00,0.3.4,"POLYGON ((31.736628893077114 -13.013139094435084, 31.760594408296313 -13.013139094435084, 31.760594408296313 -12.989638535620987, 31.736628893077114 -12.989638535620987, 31.736628893077114 -13.013139094435084))","[(7471, '2016-11-05', '2016-11-15')]",broadtree,-,-,1.0,1,1.0,1,1,1.0,1.0,-1,-1,-1.0,,Africa
mc_26.75_6.25_0.3.4,26.75_6.25,0.3.4,"POLYGON ((26.73697245444629 6.236964407995576, 26.76025026628225 6.236964407995576, 26.76025026628225 6.260258026272039, 26.73697245444629 6.260258026272039, 26.73697245444629 6.236964407995576))","[(8328, '2017-03-04', '2017-03-18')]",broadtree,-,-,1.0,1,1.0,1,1,1.0,1.0,-1,-1,-1.0,,Africa
mc_33.50_-9.00_0.3.4,33.50_-9.00,0.3.4,"POLYGON ((33.486835040779845 -9.013096839304982, 33.51038790313604 -9.013096839304982, 33.51038790313604 -8.989681100138041, 33.486835040779845 -8.989681100138041, 33.486835040779845 -9.013096839304982))","[(6772, '2016-10-10', '2016-11-03')]",broadtree,-,-,1.0,1,1.0,1,1,1.0,1.0,-1,-1,-1.0,,Africa
mc_4.75_32.75_0.3.4,4.75_32.75,0.3.4,"POLYGON ((4.734077846870373 32.736327793388085, 4.763147772480285 32.736327793388085, 4.763147772480285 32.76089367263251, 4.734077846870373 32.76089367263251, 4.734077846870373 32.736327793388085))","[(36700, '2021-06-25', '2021-07-07')]",soil,-,-,1.0,1,1.0,1,1,1.0,1.0,-1,-1,-1.0,,Africa
mc_17.75_-18.25_0.3.4,17.75_-18.25,0.3.4,"POLYGON ((17.736068285445555 -18.26337382673349, 17.761155465441718 -18.26337382673349, 17.761155465441718 -18.23940392553468, 17.736068285445555 -18.23940392553468, 17.736068285445555 -18.26337382673349))","[(16709, '2018-10-15', '2018-10-21')]",grassland,-,-,1.0,1,1.0,1,1,1.0,1.0,-1,-1,-1.0,,Africa
mc_28.50_6.75_0.3.4,28.50_6.75,0.3.4,"POLYGON ((28.486950685268766 6.736954415109805, 28.510272068533418 6.736954415109805, 28.510272068533418 6.7602681408295116, 28.486950685268766 6.7602681408295116, 28.486950685268766 6.736954415109805))","[(833, '2016-03-03', '2016-03-13')]",broadtree,-,-,1.0,1,1.0,1,1,1.0,1.0,-1,-1,-1.0,,Africa
mc_3.00_9.50_0.3.4,3.00_9.50,0.3.4,"POLYGON ((2.9868127562372773 9.486897897522807, 3.010410232286842 9.486897897522807, 3.010410232286842 9.51032442510414, 2.9868127562372773 9.51032442510414, 2.9868127562372773 9.486897897522807))","[(18297, '2019-04-03', '2019-04-09')]",broadtree,-,-,1.0,1,1.0,1,1,1.0,1.0,-1,-1,-1.0,,Africa
mc_27.25_5.75_0.3.4,27.25_5.75,0.3.4,"POLYGON ((27.23699364440311 5.736974857079731, 27.26022903404561 5.736974857079731, 27.26022903404561 5.760247638072661, 27.23699364440311 5.760247638072661, 27.23699364440311 5.736974857079731))","[(833, '2016-03-03', '2016-03-13')]",broadtree,-,-,1.0,1,1.0,1,1,1.0,1.0,-1,-1,-1.0,,Africa
mc_32.25_-12.50_0.3.4,32.25_-12.50,0.3.4,"POLYGON ((32.23664750465455 -12.513144339624615, 32.260575748647625 -12.513144339624615, 32.260575748647625 -12.489633353129841, 32.23664750465455 -12.489633353129841, 32.23664750465455 -12.513144339624615))","[(7471, '2016-11-05', '2016-11-15')]",broadtree,-,-,1.0,1,1.0,1,1,1.0,1.0,-1,-1,-1.0,,Africa
mc_31.00_-13.75_0.3.4,31.00_-13.75,0.3.4,"POLYGON ((30.986604168938857 -13.763126269054418, 31.010619205226813 -13.763126269054418, 31.010619205226813 -13.739651266398326, 30.986604168938857 -13.739651266398326, 30.986604168938857 -13.763126269054418))","[(7471, '2016-11-05', '2016-11-15')]",broadtree,-,-,1.0,1,1.0,1,1,1.0,1.0,-1,-1,-1.0,,Africa
mc_18.25_-17.75_0.3.4,18.25_-17.75,0.3.4,"POLYGON ((18.236348440107285 -17.763139606741724, 18.26087532372694 -17.763139606741724, 18.26087532372694 -17.739637693204426, 18.236348440107285 -17.739637693204426, 18.236348440107285 -17.763139606741724))","[(16709, '2018-10-15', '2018-10-21')]",broadtree,-,-,1.0,1,1.0,1,1,1.0,1.0,-1,-1,-1.0,,Africa
mc_25.00_5.50_0.3.4,25.00_5.50,0.3.4,"POLYGON ((24.9870065751577 5.486982667817733, 25.010216089379036 5.486982667817733, 25.010216089379036 5.510239654251334, 24.9870065751577 5.510239654251334, 24.9870065751577 5.486982667817733))","[(833, '2016-03-03', '2016-03-13')]",broadtree,-,-,1.0,1,1.0,1,1,1.0,1.0,-1,-1,-1.0,,Africa
mc_40.00_8.50_0.3.4,40.00_8.50,0.3.4,"POLYGON ((39.986859335342004 8.486911530566493, 40.01036356389916 8.486911530566493, 40.01036356389916 8.5103109145046, 39.986859335342004 8.5103109145046, 39.986859335342004 8.486911530566493))","[(34904, '2021-03-30', '2021-04-16')]",broadtree,-,-,1.0,1,1.0,1,1,1.0,1.0,-1,-1,-1.0,,Africa
mc_8.00_9.00_0.3.4,8.00_9.00,0.3.4,"POLYGON ((7.98685191339715 8.986919940457975, 8.010371038013059 8.986919940457975, 8.010371038013059 9.010302320176669, 7.98685191339715 9.010302320176669, 7.98685191339715 8.986919940457975))","[(18297, '2019-04-03', '2019-04-09')]",broadtree,-,-,1.0,1,1.0,1,1,1.0,1.0,-1,-1,-1.0,,Africa
mc_29.25_-11.00_0.3.4,29.25_-11.00,0.3.4,"POLYGON ((29.236695748148964 -11.013161780156347, 29.260527350941654 -11.013161780156347, 29.260527350941654 -10.989616222230062, 29.236695748148964 -10.989616222230062, 29.236695748148964 -11.013161780156347))","[(7471, '2016-11-05', '2016-11-15')]",broadtree,-,-,1.0,1,1.0,1,1,1.0,1.0,-1,-1,-1.0,,Africa
mc_41.75_9.25_0.3.4,41.75_9.25,0.3.4,"POLYGON ((41.73680950263274 9.236886252183414, 41.76041344622404 9.236886252183414, 41.76041344622404 9.260336305038544, 41.73680950263274 9.260336305038544, 41.73680950263274 9.236886252183414))","[(34904, '2021-03-30', '2021-04-16')]",broadtree,-,-,1.0,1,1.0,1,1,1.0,1.0,-1,-1,-1.0,,Africa
mc_44.75_-18.25_0.3.4,44.75_-18.25,0.3.4,"POLYGON ((44.73618485710319 -18.26326233774854, 44.76103893578115 -18.26326233774854, 44.76103893578115 -18.239515156568643, 44.73618485710319 -18.239515156568643, 44.73618485710319 -18.26326233774854))","[(39367, '2021-11-03', '2021-11-17')]",broadtree,-,-,1.0,1,1.0,1,1,1.0,1.0,-1,-1,-1.0,,Africa
