,mc_id,path,location_id,version,geometry,creation_date,modification_date,events,s2_l2_bands,era5,cci_landcover_map,copernicus_dem,de_africa_climatology,event_arrays,s2cloudless_cloudmask,sen2cor_cloudmask,unetmobv2_cloudmask,earthnet_cloudmask,remarks
1377,mc_52.50_53.75_1.1_20230602_0,deepextremes-minicubes/1.1/mc_52.50_53.75_1.1_20230602_0.zarr,52.50_53.75,1.1,"POLYGON ((52.47732764490691 53.738770426448326, 52.51990482363427 53.738770426448326, 52.51990482363427 53.76400520937584, 52.47732764490691 53.76400520937584, 52.47732764490691 53.738770426448326))",2023-06-03 06:53:04,2023-06-03 06:53:04,"[(13719, '2018-06-27T00:00:00.0', '2018-07-04T00:00:00.0')]",1.3,1.0,2.0,2.0,1.0,2.0,-1.0,-1.0,-1.0,1.0,
1567,mc_1.00_31.75_1.1_20230602_0,deepextremes-minicubes/1.1/mc_1.00_31.75_1.1_20230602_0.zarr,1.00_31.75,1.1,"POLYGON ((0.9846352599776816 31.73666666358505, 1.012590284377836 31.73666666358505, 1.012590284377836 31.760554488258, 0.9846352599776816 31.760554488258, 0.9846352599776816 31.73666666358505))",2023-04-21 15:01:18,2023-06-03 12:39:28,"[(30750, '2020-08-16T00:00:00.0', '2020-08-23T00:00:00.0')]",1.0,1.0,2.0,2.0,1.0,2.0,1.0,-1.0,-1.0,1.0,
1606,mc_100.50_48.50_1.1_20230602_0,deepextremes-minicubes/1.1/mc_100.50_48.50_1.1_20230602_0.zarr,100.50_48.50,1.1,"POLYGON ((100.47974182464135 48.48884569348809, 100.51748798000364 48.48884569348809, 100.51748798000364 48.513930370401916, 100.47974182464135 48.513930370401916, 100.47974182464135 48.48884569348809))",2023-05-24 23:52:55,2023-06-03 13:30:01,"[(10157, '2017-07-26T00:00:00.0', '2017-08-01T00:00:00.0')]",1.2,1.0,2.0,2.0,1.0,2.0,-1.0,-1.0,-1.0,1.0,
1686,mc_103.00_25.00_1.1_20230602_0,deepextremes-minicubes/1.1/mc_103.00_25.00_1.1_20230602_0.zarr,103.00_25.00,1.1,"POLYGON ((102.985585041876 24.98673855437279, 103.01163953069948 24.98673855437279, 103.01163953069948 25.010482929414792, 102.985585041876 25.010482929414792, 102.985585041876 24.98673855437279))",2023-05-24 00:21:31,2023-06-03 15:13:09,"[(19175, '2019-05-05T00:00:00.0', '2019-05-23T00:00:00.0')]",1.2,1.0,2.0,2.0,1.0,2.0,-1.0,-1.0,-1.0,1.0,
1777,mc_106.50_68.00_1.1_20230602_0,deepextremes-minicubes/1.1/mc_106.50_68.00_1.1_20230602_0.zarr,106.50_68.00,1.1,"POLYGON ((106.46456640179326 67.9858373644471, 106.53268512490025 67.9858373644471, 106.53268512490025 68.01138075105912, 106.46456640179326 68.01138075105912, 106.46456640179326 67.9858373644471))",2023-05-19 19:44:00,2023-06-03 17:08:54,"[(28284, '2020-06-24T00:00:00.0', '2020-07-01T00:00:00.0')]",1.2,1.0,2.0,2.0,1.0,2.0,-1.0,-1.0,-1.0,1.0,
1809,mc_107.50_49.25_1.1_20230602_0,deepextremes-minicubes/1.1/mc_107.50_49.25_1.1_20230602_0.zarr,107.50_49.25,1.1,"POLYGON ((107.47925036728759 49.23871165819402, 107.51797967859582 49.23871165819402, 107.51797967859582 49.26406447340376, 107.47925036728759 49.26406447340376, 107.47925036728759 49.23871165819402))",2023-05-24 04:28:48,2023-06-03 17:50:36,"[(3499, '2016-07-03T00:00:00.0', '2016-07-10T00:00:00.0')]",1.2,1.0,2.0,2.0,1.0,2.0,-1.0,-1.0,-1.0,1.0,
1836,mc_108.50_67.50_1.1_20230602_0,deepextremes-minicubes/1.1/mc_108.50_67.50_1.1_20230602_0.zarr,108.50_67.50,1.1,"POLYGON ((108.4670204889441 67.48650134167602, 108.53023048592675 67.48650134167602, 108.53023048592675 67.51071604839288, 108.4670204889441 67.51071604839288, 108.4670204889441 67.48650134167602))",2023-05-26 20:41:06,2023-06-03 18:23:26,"[(28284, '2020-06-24T00:00:00.0', '2020-07-01T00:00:00.0')]",1.2,1.0,2.0,2.0,1.0,2.0,-1.0,-1.0,-1.0,1.0,
1856,mc_111.25_49.25_1.1_20230602_0,deepextremes-minicubes/1.1/mc_111.25_49.25_1.1_20230602_0.zarr,111.25_49.25,1.1,"POLYGON ((111.22968062617913 49.23899311955465, 111.2675495832224 49.23899311955465, 111.2675495832224 49.263782733120415, 111.22968062617913 49.263782733120415, 111.22968062617913 49.23899311955465))",2023-05-19 22:39:11,2023-06-03 18:49:13,"[(3499, '2016-07-03T00:00:00.0', '2016-07-10T00:00:00.0')]",1.2,1.0,2.0,2.0,1.0,2.0,-1.0,-1.0,-1.0,1.0,
1885,mc_113.25_49.75_1.1_20230602_0,deepextremes-minicubes/1.1/mc_113.25_49.75_1.1_20230602_0.zarr,113.25_49.75,1.1,"POLYGON ((113.22908451998376 49.738733687310315, 113.26814576785482 49.738733687310315, 113.26814576785482 49.76404237611075, 113.22908451998376 49.76404237611075, 113.22908451998376 49.738733687310315))",2023-05-26 21:55:15,2023-06-03 19:28:46,"[(3499, '2016-07-03T00:00:00.0', '2016-07-10T00:00:00.0')]",1.2,1.0,2.0,2.0,1.0,2.0,-1.0,-1.0,-1.0,1.0,
2178,mc_173.00_65.75_1.1_20230602_0,deepextremes-minicubes/1.1/mc_173.00_65.75_1.1_20230602_0.zarr,173.00_65.75,1.1,"POLYGON ((172.96742065635482 65.73855782099582, 173.02982543298808 65.73855782099582, 173.02982543298808 65.76421639055133, 172.96742065635482 65.76421639055133, 172.96742065635482 65.73855782099582))",2023-06-04 03:41:22,2023-06-04 03:41:22,"[(20236, '2019-07-08T00:00:00.0', '2019-07-16T00:00:00.0')]",1.3,1.0,2.0,2.0,1.0,2.0,-1.0,-1.0,-1.0,1.0,
